id,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price
13398011,Entire home/apt,6,1,strict,TRUE,t,96,1,6,5
18472310,Private room,2,1,moderate,TRUE,f,80,1,1,4
18524434,Private room,1,1,flexible,FALSE,f,100,1,1,5
19225024,Private room,4,1,strict,TRUE,t,93,1,2,5
18840866,Entire home/apt,7,2,strict,TRUE,t,84,2,3,5
2586472,Entire home/apt,2,1,flexible,FALSE,f,,1,1,5
20761244,Private room,4,1,flexible,TRUE,t,92,1,2,4
3976798,Entire home/apt,4,3,strict,TRUE,f,100,2,2,6
17812291,Private room,1,1,strict,TRUE,f,95,1,1,4
1168086,Private room,3,1,strict,TRUE,f,80,1,1,4
19692298,Entire home/apt,3,1,flexible,TRUE,f,97,1,1,5
262343,Entire home/apt,5,2,flexible,TRUE,t,,2,2,5
15734037,Entire home/apt,5,1,flexible,TRUE,f,,1,2,5
5011392,Entire home/apt,2,1,flexible,TRUE,t,,1,1,4
1830541,Entire home/apt,3,1,flexible,TRUE,f,,1,1,5
4576821,Entire home/apt,1,1,flexible,TRUE,f,100,0,1,4
1008814,Private room,4,1,moderate,TRUE,f,100,1,3,5
7226513,Entire home/apt,2,1,strict,TRUE,f,100,0,1,5
13858669,Private room,2,1,strict,TRUE,f,89,1,1,5
14873270,Entire home/apt,2,1,flexible,TRUE,f,80,0,1,4
10132073,Private room,2,1,strict,TRUE,t,99,1,1,4
314248,Private room,2,1,moderate,TRUE,f,80,1,1,5
2165604,Private room,2,1,moderate,TRUE,f,94,1,1,4
14900814,Entire home/apt,9,3,moderate,TRUE,t,96,4,4,6
11593024,Entire home/apt,6,2,strict,TRUE,f,99,3,2,7
17497912,Private room,1,1,flexible,FALSE,t,,1,1,5
16490513,Private room,2,1,flexible,FALSE,f,96,1,2,4
15282612,Entire home/apt,2,1,flexible,TRUE,f,,1,1,6
235281,Entire home/apt,9,2,strict,TRUE,f,96,2,5,5
9335247,Private room,2,1,strict,TRUE,f,85,1,1,4
15792652,Private room,1,2,strict,TRUE,f,,1,1,4
4666794,Entire home/apt,2,1,moderate,TRUE,t,,0,1,4
20632389,Entire home/apt,3,1,strict,TRUE,f,94,1,1,5
20979364,Private room,1,1,strict,TRUE,f,100,1,1,4
4588783,Private room,2,1,strict,FALSE,f,94,1,2,4
8336708,Private room,2,1,flexible,FALSE,t,100,1,1,4
16802965,Entire home/apt,2,1,strict,TRUE,f,88,1,1,5
14228669,Entire home/apt,2,1,flexible,FALSE,t,89,1,2,5
7316104,Private room,1,1,strict,TRUE,f,93,1,1,4
25827,Entire home/apt,8,2,flexible,TRUE,f,90,3,3,6
7827907,Entire home/apt,4,2,flexible,TRUE,f,100,2,2,6
13900931,Entire home/apt,2,1,flexible,FALSE,f,,0,1,6
12068,Private room,4,1,strict,FALSE,f,89,1,2,4
9994860,Entire home/apt,10,2,strict,TRUE,f,96,3,4,6
13510326,Entire home/apt,6,1,flexible,FALSE,f,100,2,3,4
17520883,Private room,2,1,moderate,TRUE,f,99,1,1,4
2618997,Entire home/apt,3,1,moderate,FALSE,f,93,1,1,5
8813451,Entire home/apt,3,1,moderate,TRUE,f,98,2,2,5
8781837,Entire home/apt,2,1,flexible,TRUE,f,96,0,1,4
14641006,Entire home/apt,7,1,strict,TRUE,f,100,2,2,5
1742144,Private room,2,1,strict,TRUE,t,94,1,1,4
15772294,Shared room,4,2,strict,TRUE,f,100,1,4,3
2278299,Private room,2,1,flexible,FALSE,f,,1,1,4
16253186,Entire home/apt,2,1,flexible,FALSE,t,80,1,1,5
13615270,Entire home/apt,6,2,moderate,FALSE,f,100,1,3,6
11797378,Private room,3,1,strict,FALSE,t,98,1,1,4
1089240,Private room,3,1,strict,TRUE,t,100,1,2,4
11461331,Private room,1,1,flexible,TRUE,f,80,1,1,4
16186033,Private room,1,1,flexible,FALSE,f,,1,1,3
6555586,Entire home/apt,4,2,strict,TRUE,f,90,2,4,6
457555,,1,1,flexible,FALSE,f,,1,1,6
6599827,Entire home/apt,3,1,flexible,FALSE,f,70,2,1,5
9057393,Entire home/apt,3,1,moderate,TRUE,f,99,1,1,5
20997664,Entire home/apt,4,1,moderate,TRUE,f,90,2,2,5
14555269,Private room,2,1,strict,TRUE,f,86,1,1,5
20958545,Private room,2,1,moderate,FALSE,f,90,0,1,4
18649822,Private room,2,1,flexible,TRUE,f,,1,1,4
498052,Entire home/apt,2,1,flexible,FALSE,f,,1,1,7
17860272,Entire home/apt,2,2,strict,FALSE,t,100,1,1,7
14916417,Private room,1,1,flexible,FALSE,f,100,1,1,4
10574818,Private room,2,1,flexible,FALSE,f,,1,1,4
18434133,Private room,2,1,flexible,TRUE,f,98,1,1,4
20199218,Entire home/apt,7,3,strict,TRUE,f,98,3,4,6
2050565,Entire home/apt,4,2,strict,TRUE,f,100,3,3,7
10575738,Private room,2,1,strict,TRUE,f,,1,1,5
6438568,Entire home/apt,4,1,strict,TRUE,f,94,2,3,5
1411264,Entire home/apt,2,1,strict,TRUE,f,93,1,1,4
6033550,Private room,2,1,moderate,TRUE,t,96,1,1,5
51073,Entire home/apt,4,1,flexible,TRUE,t,60,1,2,5
14568366,Entire home/apt,2,1,moderate,TRUE,f,100,1,1,6
8442997,Private room,4,1,flexible,TRUE,f,99,2,2,5
783533,Entire home/apt,2,1,moderate,FALSE,f,100,1,1,5
6886174,Entire home/apt,2,1,moderate,TRUE,f,88,0,1,5
12872822,Private room,1,1,strict,TRUE,f,95,1,1,5
2604409,Shared room,1,1,strict,TRUE,f,100,1,1,3
12208881,Private room,1,1,strict,TRUE,f,70,1,1,4
6374167,,5,1,strict,TRUE,f,97,2,3,6
10638806,Private room,2,1,strict,TRUE,f,91,1,1,5
10839763,Entire home/apt,6,2,moderate,TRUE,f,100,2,3,5
20409623,Entire home/apt,2,1,strict,TRUE,f,100,0,1,4
17703855,Private room,2,1,flexible,FALSE,f,,1,1,4
11610316,Private room,5,1,moderate,FALSE,t,100,1,3,4
10228764,Entire home/apt,2,1,strict,TRUE,t,97,1,1,4
6717232,Private room,2,1,strict,TRUE,f,95,1,1,4
19729961,Entire home/apt,7,2,moderate,TRUE,f,,3,5,6
4098271,Entire home/apt,2,1,moderate,FALSE,f,94,0,2,4
3630424,Private room,2,1,flexible,TRUE,f,,1,1,4
16641,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5
17575812,Entire home/apt,4,1,strict,TRUE,f,98,0,2,5
11588543,Entire home/apt,5,1,strict,TRUE,f,95,3,3,5
19211691,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5
18058045,Entire home/apt,6,1,moderate,TRUE,f,93,2,4,6
3238142,Entire home/apt,2,1,flexible,TRUE,f,,0,1,6
11257690,Entire home/apt,3,1,flexible,FALSE,f,97,1,1,5
6181322,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5
19845637,Entire home/apt,2,1,flexible,FALSE,f,93,1,1,4
15942310,Entire home/apt,3,1,strict,TRUE,t,92,1,2,5
4884601,Private room,3,1,moderate,TRUE,f,97,1,2,4
7144212,Private room,1,1,strict,TRUE,f,100,1,1,5
11190379,Entire home/apt,6,2,strict,TRUE,f,100,2,2,5
20568215,Entire home/apt,4,2,flexible,TRUE,f,80,2,2,6
11473041,Private room,2,1,flexible,TRUE,f,100,1,1,4
14698794,Entire home/apt,6,1,strict,TRUE,f,100,2,2,5
2259813,Entire home/apt,3,1,flexible,FALSE,f,100,2,2,5
19981334,,2,1,moderate,TRUE,f,99,1,1,4
20034233,Entire home/apt,6,1,moderate,TRUE,t,97,2,4,6
7483034,Entire home/apt,5,2,strict,TRUE,f,100,3,3,5
2664975,Entire home/apt,2,1,moderate,FALSE,f,97,0,1,5
16131645,Entire home/apt,4,1,strict,TRUE,f,87,1,1,5
7575345,Entire home/apt,2,1,strict,TRUE,f,89,,1,5
13766593,Entire home/apt,2,1,flexible,TRUE,f,100,1,1,5
14964764,Private room,1,1,strict,TRUE,f,94,1,1,5
16122163,Private room,3,1,strict,TRUE,t,75,1,2,5
20054400,Entire home/apt,3,1,flexible,TRUE,f,94,1,2,5
2754149,Private room,2,1,,,t,96,1,1,5
11760628,Private room,3,1,flexible,FALSE,f,87,1,1,5
8642982,Entire home/apt,6,2,moderate,FALSE,f,90,3,3,5
19506327,Private room,2,1,moderate,TRUE,t,60,1,1,4
14783267,Entire home/apt,2,1,,,f,93,1,1,5
1048797,Private room,2,1,moderate,TRUE,f,89,1,1,4
7771546,Private room,2,1,flexible,TRUE,t,98,1,1,5
19737908,Entire home/apt,4,1,flexible,TRUE,f,93,0,1,5
17330389,Entire home/apt,8,3,strict,TRUE,f,,3,4,6
982304,Entire home/apt,5,1,flexible,TRUE,f,,2,2,6
624248,Private room,2,1,flexible,TRUE,t,100,1,1,4
13616847,Entire home/apt,6,3,strict,TRUE,f,99,3,3,6
13654448,Private room,2,1,moderate,TRUE,f,95,1,1,5
19474011,Private room,3,1,strict,TRUE,f,,1,2,4
4258491,Entire home/apt,2,1,moderate,FALSE,f,100,1,1,5
4879306,Private room,2,2,moderate,TRUE,f,100,1,1,4
1550146,Entire home/apt,4,1,moderate,TRUE,f,93,2,2,5
12952172,Entire home/apt,6,2,moderate,FALSE,f,,3,4,5
5940622,Entire home/apt,4,2,moderate,TRUE,f,100,2,2,5
21024236,Entire home/apt,5,2,moderate,TRUE,f,100,2,3,6
9786021,Private room,2,2,strict,FALSE,f,93,1,1,4
15300708,Private room,2,1,moderate,TRUE,f,100,1,1,5
10175033,Private room,2,1,strict,TRUE,f,91,1,1,4
15806332,Shared room,2,1,strict,FALSE,f,,1,1,5
2134400,Entire home/apt,2,1,strict,TRUE,f,93,0,2,4
11927300,Entire home/apt,2,1,moderate,FALSE,f,92,0,1,5
16431249,Private room,1,1,strict,TRUE,f,100,1,1,4
12265833,Entire home/apt,2,1,,,f,100,1,1,5
11047668,Private room,4,1,flexible,TRUE,f,,1,2,4
9602518,Private room,2,1,flexible,TRUE,t,96,1,1,5
4645486,Entire home/apt,6,3,moderate,TRUE,f,100,3,3,6
12757706,Entire home/apt,6,3,strict,TRUE,f,,3,4,6
14559074,Entire home/apt,8,2,strict,TRUE,f,80,1,2,6
20706278,Private room,1,2,flexible,FALSE,t,90,1,1,3
18196542,Private room,2,1,flexible,TRUE,f,80,1,1,4
3750257,Entire home/apt,6,2,strict,FALSE,f,100,2,3,6
17712350,Private room,2,2,moderate,TRUE,f,97,1,1,4
11659296,Private room,2,2,strict,TRUE,f,93,1,1,4
13018127,Private room,2,2,flexible,TRUE,t,100,1,1,5
18687283,Entire home/apt,4,1,moderate,TRUE,t,98,1,4,5
5885130,Private room,2,1,strict,TRUE,f,,1,1,5
8986585,Entire home/apt,6,2,flexible,TRUE,f,,3,4,6
18265842,Entire home/apt,2,1,flexible,FALSE,f,100,0,1,5
7773967,Private room,2,1,strict,TRUE,f,95,1,1,4
13795421,Entire home/apt,2,1,flexible,FALSE,f,100,1,1,5
7955984,Entire home/apt,4,1,moderate,TRUE,f,97,1,2,5
18125983,Entire home/apt,2,1,strict,TRUE,f,99,1,1,6
20590180,Entire home/apt,4,2,moderate,TRUE,f,99,2,3,6
515260,Private room,1,1,moderate,TRUE,t,100,1,1,4
15146022,Entire home/apt,10,3,strict,TRUE,f,93,4,5,6
455801,,4,1,moderate,TRUE,f,91,1,2,4
1887489,Private room,2,1,flexible,FALSE,f,20,1,1,4
3167974,Private room,1,1,strict,FALSE,t,91,1,1,4
16630498,Entire home/apt,4,2,strict,TRUE,f,98,2,2,6
2175930,Entire home/apt,4,1,moderate,TRUE,f,96,1,2,6
16412763,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5
2259719,Private room,2,1,flexible,FALSE,f,87,1,1,4
20667572,Entire home/apt,2,1,strict,FALSE,f,,1,1,6
17847644,Private room,2,1,moderate,TRUE,t,76,1,1,4
18923450,Entire home/apt,2,1,strict,TRUE,f,95,1,1,5
15448688,Private room,1,1,flexible,FALSE,f,,1,1,5
15203727,Private room,2,1,strict,TRUE,t,89,1,1,4
1654170,Private room,2,1,strict,TRUE,f,98,1,1,4
15636707,Entire home/apt,2,1,moderate,TRUE,f,80,0,1,6
15982486,Private room,2,1,strict,TRUE,t,100,1,1,4
17462133,Entire home/apt,4,1,strict,TRUE,f,93,1,2,5
18078627,Entire home/apt,4,1,strict,TRUE,f,94,1,3,5
19242128,Entire home/apt,2,1,strict,TRUE,t,94,1,1,4
19247246,Private room,2,1,strict,FALSE,f,95,1,1,4
16243308,Private room,3,1,flexible,FALSE,t,92,1,2,4
20137770,Entire home/apt,2,1,moderate,FALSE,f,91,0,1,5
3219171,Entire home/apt,10,5,flexible,TRUE,t,,5,5,5
19193758,Entire home/apt,2,1,strict,TRUE,f,90,0,2,5
16368734,Entire home/apt,4,2,strict,FALSE,t,,2,2,7
13309996,Private room,2,5,strict,FALSE,f,,1,5,5
443646,Private room,2,1,flexible,FALSE,f,100,1,1,5
3384323,Entire home/apt,2,1,flexible,TRUE,f,,0,1,5
13811836,Entire home/apt,5,1,strict,TRUE,t,100,1,3,5
5250051,Entire home/apt,2,1,moderate,TRUE,f,96,1,1,5
9571665,Private room,2,1,strict,FALSE,f,100,1,1,5
14199379,Shared room,1,2,strict,FALSE,t,96,1,1,4
20208787,Entire home/apt,6,3,strict,TRUE,f,100,3,3,5
9150171,Entire home/apt,2,1,moderate,TRUE,f,80,1,1,6
18347483,Entire home/apt,2,1,strict,FALSE,f,93,1,1,4
14575109,Entire home/apt,2,1,moderate,TRUE,f,96,0,1,5
8532763,Entire home/apt,2,1,strict,TRUE,t,100,0,1,4
9550807,Entire home/apt,4,1,strict,FALSE,f,100,1,2,7
21188095,Entire home/apt,5,2,moderate,TRUE,t,100,3,3,6
15805642,Entire home/apt,2,1,strict,TRUE,t,96,1,1,5
20757371,Private room,2,1,strict,TRUE,t,92,1,1,4
10517632,Entire home/apt,4,1,strict,TRUE,t,97,1,2,5
18108134,Private room,2,2,flexible,TRUE,t,80,1,2,4
11121225,Entire home/apt,4,1,strict,TRUE,t,92,1,2,5
20203225,Entire home/apt,3,1,moderate,FALSE,f,97,1,1,5
9685324,Entire home/apt,2,1,strict,TRUE,f,98,0,1,4
7004468,Private room,4,1,flexible,FALSE,t,,1,2,4
17109866,Entire home/apt,1,1,flexible,FALSE,f,,,,4
9794825,Entire home/apt,4,1,flexible,TRUE,f,90,2,2,5
5050799,Entire home/apt,2,1,strict,TRUE,t,90,0,1,4
17476750,Entire home/apt,2,1,flexible,TRUE,f,92,0,1,5
1425347,Private room,4,1,moderate,TRUE,t,89,1,3,5
1720583,Entire home/apt,16,2,strict,FALSE,f,87,2,3,6
17478124,Entire home/apt,2,1,moderate,TRUE,f,100,0,1,5
11150526,Entire home/apt,4,1,strict,TRUE,f,100,1,2,5
14199146,Private room,2,1,flexible,FALSE,f,,1,1,5
16740779,Entire home/apt,2,1,moderate,TRUE,t,85,0,1,5
18627135,Private room,2,1,moderate,TRUE,f,,1,1,5
225205,Private room,1,1,flexible,FALSE,f,90,1,1,3
13331968,Private room,2,1,flexible,FALSE,f,,1,1,5
16416143,Entire home/apt,4,2,flexible,FALSE,f,,3,4,6
12384692,Entire home/apt,3,1,strict,TRUE,f,,1,2,5
16270454,Private room,1,1,flexible,FALSE,t,,1,1,5
15294943,Entire home/apt,4,1,flexible,FALSE,f,90,1,4,5
16929145,Private room,2,0,moderate,TRUE,f,88,1,1,4
13923267,Entire home/apt,8,2,strict,TRUE,f,,3,4,6
2091153,Entire home/apt,6,3,strict,FALSE,f,,2,4,7
17889536,Private room,2,1,flexible,TRUE,f,100,1,1,5
1074406,Entire home/apt,2,1,strict,FALSE,t,,1,1,6
6261296,Private room,2,1,strict,TRUE,f,94,1,1,4
18089318,Entire home/apt,2,1,strict,TRUE,f,89,0,1,4
4833294,Private room,2,1,strict,TRUE,t,90,1,1,5
131747,Entire home/apt,4,1,flexible,FALSE,f,80,2,2,5
16445600,Entire home/apt,3,1,moderate,TRUE,f,99,1,1,6
7327920,Entire home/apt,5,1,moderate,TRUE,f,100,2,2,6
16243107,Entire home/apt,5,2,strict,TRUE,f,,2,1,5
13725947,Private room,1,1,moderate,TRUE,t,100,1,1,4
17880165,Private room,1,1,moderate,FALSE,f,100,1,1,4
17861841,Entire home/apt,2,1,moderate,TRUE,t,100,0,1,4
16630434,Entire home/apt,2,1,strict,TRUE,f,96,1,1,5
6832557,Entire home/apt,2,1,flexible,TRUE,t,100,1,1,5
9168586,Entire home/apt,2,1,strict,TRUE,f,98,1,1,5
15188419,Entire home/apt,2,1,flexible,FALSE,f,80,0,1,5
469810,Private room,2,2,flexible,TRUE,f,94,1,1,5
5029761,Private room,2,1,moderate,TRUE,t,92,1,1,4
2739703,Private room,2,1,moderate,TRUE,f,98,1,1,5
5586306,Private room,4,1,moderate,FALSE,f,94,1,1,5
11077219,Entire home/apt,4,1,strict,TRUE,f,85,1,2,5
12414037,Shared room,7,1,strict,TRUE,f,100,1,2,4
19927986,Entire home/apt,2,1,strict,TRUE,f,91,1,1,5
16959968,Entire home/apt,2,1,strict,TRUE,f,93,0,1,5
15888389,Entire home/apt,4,1,moderate,TRUE,f,100,0,2,5
13150529,Private room,1,1,strict,TRUE,f,,1,1,3
20773540,Entire home/apt,8,4,moderate,TRUE,f,98,4,4,7
18388570,Entire home/apt,,,,FALSE,f,,0,1,5
20620600,Private room,,,,TRUE,f,,1,1,5
15954428,Entire home/apt,1,1,strict,TRUE,t,,1,1,5
12419766,Entire home/apt,3,1,strict,TRUE,f,95,1,1,4
17587897,Entire home/apt,2,1,flexible,TRUE,t,,0,1,3
21051935,Entire home/apt,6,1,strict,TRUE,f,60,2,3,6
7632804,Entire home/apt,3,1,flexible,TRUE,t,100,1,2,4
18003619,Entire home/apt,4,1,moderate,TRUE,f,94,1,1,5
8937240,Entire home/apt,8,2,strict,TRUE,f,,3,4,5
6473307,Private room,2,4,strict,FALSE,f,94,1,1,4
6337168,Entire home/apt,3,1,moderate,TRUE,t,100,0,1,5
19176565,Private room,2,1,moderate,TRUE,t,97,1,1,5
18314694,Private room,2,1,strict,TRUE,f,94,1,1,5
13896597,Private room,1,1,flexible,FALSE,f,,1,1,4
3084267,Entire home/apt,4,1,flexible,FALSE,t,100,0,2,6
17649894,Private room,2,1,flexible,TRUE,t,93,1,1,5
142177,Private room,2,1,flexible,TRUE,f,,1,1,4
15438016,Private room,2,1,flexible,FALSE,t,90,1,2,4
12981814,Shared room,1,2,moderate,FALSE,t,100,1,1,4
13766952,Private room,2,1,strict,TRUE,f,100,1,1,4
9635607,Entire home/apt,2,1,moderate,TRUE,t,100,0,1,5
16163323,Private room,2,2,moderate,TRUE,t,95,1,2,4
16599054,Private room,2,1,strict,TRUE,f,97,1,1,4
14505006,Private room,1,1,flexible,FALSE,f,,1,1,5
8152867,Entire home/apt,4,1,moderate,TRUE,f,94,1,3,5
16670882,Private room,2,2,strict,TRUE,f,95,1,1,5
21054696,Private room,2,1,flexible,FALSE,t,94,1,1,4
10588426,Private room,2,1,flexible,FALSE,t,,1,1,5
9862763,Private room,1,1,strict,TRUE,t,80,,1,4
17909363,Entire home/apt,4,2,flexible,TRUE,f,,2,2,6
13559613,Private room,1,,flexible,FALSE,f,,1,,5
9588196,Entire home/apt,6,1,moderate,TRUE,f,99,1,3,5
2917203,Private room,1,1,flexible,TRUE,f,100,1,1,5
9379983,Entire home/apt,4,1,flexible,TRUE,t,95,1,1,4
15639615,Entire home/apt,4,1,strict,TRUE,f,98,1,1,5
14205033,Private room,2,2,flexible,TRUE,t,100,1,1,4
12388682,Private room,2,1,flexible,TRUE,t,93,1,1,5
2935269,Entire home/apt,2,1,strict,FALSE,f,95,0,1,5
10040637,Private room,2,1,strict,TRUE,f,95,1,1,4
10236473,Private room,2,2,flexible,TRUE,f,100,1,1,4
6968737,Private room,1,1,flexible,TRUE,f,,1,1,4
18393239,Entire home/apt,6,2,moderate,TRUE,f,96,3,4,6
16620641,Entire home/apt,2,1,flexible,TRUE,f,100,1,1,5
17992312,Private room,2,1,strict,TRUE,t,90,1,1,4
9773252,Entire home/apt,2,1,moderate,TRUE,f,,0,2,5
4264211,Private room,2,1,flexible,TRUE,f,,1,1,4
12544062,Private room,3,2,strict,FALSE,t,92,1,1,4
2526345,Private room,3,1,strict,TRUE,t,88,1,2,5
15247678,Shared room,4,1,flexible,TRUE,f,100,1,4,3
2254469,Entire home/apt,4,1,moderate,TRUE,f,92,2,3,5
21106002,Entire home/apt,8,2,strict,FALSE,t,86,3,5,6
2484207,Entire home/apt,2,1,,,t,100,1,1,6
9366080,Entire home/apt,4,1,moderate,TRUE,f,,3,5,4
19839317,Entire home/apt,8,4,strict,TRUE,f,100,3,3,8
10074308,Entire home/apt,4,1,flexible,TRUE,t,,1,2,5
16263502,Entire home/apt,4,1,strict,TRUE,f,96,2,4,6
14648838,Entire home/apt,2,1,strict,TRUE,f,100,1,2,6
15194928,Private room,2,2,moderate,FALSE,f,,4,1,4
13576818,Private room,2,1,strict,FALSE,f,83,1,1,5
5094335,Entire home/apt,4,1,strict,TRUE,t,87,0,2,4
4738113,Entire home/apt,4,1,strict,FALSE,f,,1,2,6
7346941,Private room,1,2,moderate,TRUE,f,100,1,1,4
13707814,Private room,2,2,strict,TRUE,t,99,1,1,4
18054278,Entire home/apt,6,1,strict,TRUE,f,82,2,4,5
17406413,Private room,3,1,flexible,TRUE,f,78,1,1,4
2197591,Entire home/apt,5,2,strict,TRUE,f,,2,2,6
15343791,Private room,2,1,moderate,FALSE,f,95,1,1,4
16315222,Entire home/apt,4,1,flexible,FALSE,f,88,1,2,5
6197217,Entire home/apt,6,2,moderate,TRUE,f,100,2,2,5
14655794,Private room,1,1,moderate,TRUE,f,93,1,1,4
9260911,Entire home/apt,6,2,moderate,TRUE,t,98,2,4,5
19700646,Entire home/apt,6,1,moderate,TRUE,f,,2,3,5
16707697,Entire home/apt,2,1,strict,FALSE,f,95,1,1,5
17333246,Entire home/apt,4,1,strict,TRUE,t,100,1,2,5
14714654,Private room,1,1,flexible,FALSE,t,,1,1,4
16014394,Private room,1,1,moderate,TRUE,t,93,1,1,4
4099682,Entire home/apt,2,1,moderate,TRUE,f,98,1,1,5
7921643,Private room,1,1,flexible,TRUE,f,100,1,1,4
8780339,Entire home/apt,2,1,flexible,TRUE,f,100,1,1,5
